,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량
0,두부김치,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202.41kcal
1,오리불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.15kcal
2,궁중떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,264.69kcal
3,김자반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8kcal
4,깻잎조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98kcal
5,배추김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal
6,황태채무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16kcal
7,복숭아주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
8,열무김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal
9,사과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36kcal
10,우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal
11,사골떡왕만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,441.49kcal
12,밥1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal
13,삼겹살덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,911.88kcal
14,오징어젓무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53.06kcal
15,배추들깨국,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.91kcal
16,버섯육개장,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,104.07kcal
