,메뉴이름,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,탄수화물,지방,단백질,나트륨,콜레스트롤
0,두부김치,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202,9.819444444444445,11.92361111111111,13.32638888888889,693.6736111111111,9.118055555555555
1,오리불고기,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279,9.964285714285714,13.95,21.92142857142857,338.7857142857143,89.67857142857143
2,궁중떡볶이,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,265,53.29608938547486,2.9608938547486034,1.4804469273743017,623.268156424581,0.0
3,김자반,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2.0,6.0,2.0,72.0,0.0
4,깻잎조림,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.0,0.0,0.975,0.0,0.0
5,배추김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.25,0.0,0.5,227.5,0.0
6,황태채무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6.507692307692308,5.7846153846153845,4.338461538461538,68.6923076923077,18.076923076923077
7,복숭아주스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,18.0,0.0,0.0,0.0,0.0
8,열무김치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2.25,0.0,0.375,0.0,0.0
9,사과,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10.5,0.0,0.0,0.75,0.0
10,우유,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,9.384615384615385,5.630769230769231,5.630769230769231,93.84615384615384,28.153846153846153
11,사골떡왕만둣국,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,441,77.616,7.7616,14.112,1397.088,86.0832
12,밥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,58.9875,6.05,13.6125,816.75,15.125
13,삼겹살덮밥,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,912,135.11111111111111,33.77777777777778,16.88888888888889,3546.6666666666665,0.0
14,오징어젓무침,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,53,3.365079365079365,1.6825396825396826,5.0476190476190474,139.65079365079364,71.5079365079365
