,Unnamed: 0,메뉴이름,식사명,계란류,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,날짜,부대
0,0,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-27,6282
1,1,열무김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-27,6282
2,2,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-27,6282
3,3,감귤 주스,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44kcal,2021-09-27,6282
4,4,찹쌀밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.82kcal,2021-09-28,6282
5,5,얼큰떡만둣국,중식,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,568.19kcal,2021-09-28,6282
6,6,참치마요덮밥,석식,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,693.37kcal,2021-09-28,6282
7,7,돼지고기김치찌개,조식,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,78.6kcal,2021-09-28,6282
8,8,오징어채무침,중식,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,88.6kcal,2021-09-28,6282
9,9,아욱된장국,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.22kcal,2021-09-28,6282
10,10,새송이쇠고기볶음,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,110.25kcal,2021-09-28,6282
11,11,미나리무생채,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63kcal,2021-09-28,6282
12,12,양념통닭,석식,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,736.51kcal,2021-09-28,6282
13,13,연두부샐러드,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5kcal,2021-09-28,6282
14,14,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-28,6282
15,15,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-28,6282
16,16,열무김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8kcal,2021-09-28,6282
17,17,우유,중식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-28,6282
18,18,방울토마토,석식,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.384kcal,2021-09-28,6282
19,19,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-29,6282
20,20,찹쌀밥,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.82kcal,2021-09-29,6282
21,21,오징어덮밥,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,576.24kcal,2021-09-29,6282
22,22,쇠고기무국,조식,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.58kcal,2021-09-29,6282
23,23,버섯된장찌개,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59.75kcal,2021-09-29,6282
24,24,계란찜,석식,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.51kcal,2021-09-29,6282
25,25,맛김,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0kcal,2021-09-29,6282
26,26,삼겹살구이,중식,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,567.68kcal,2021-09-29,6282
27,27,무초절이,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19kcal,2021-09-29,6282
28,28,소시지콩나물찜,조식,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,279.82kcal,2021-09-29,6282
29,29,모듬쌈,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.51kcal,2021-09-29,6282
30,30,치킨텐더샐러드,석식,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,361.99kcal,2021-09-29,6282
31,31,두부조림,조식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107.5kcal,2021-09-29,6282
32,32,오이풋고추된장무침,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.24kcal,2021-09-29,6282
33,33,배추김치,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-29,6282
34,34,배추김치,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-29,6282
35,35,배추김치,중식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45kcal,2021-09-29,6282
36,36,컵과일,석식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46kcal,2021-09-29,6282
37,37,우유,조식,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122kcal,2021-09-29,6282
38,38,밥,조식,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363kcal,2021-09-30,6282
39,39,쫄면,중식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,727.41kcal,2021-09-30,6282
40,40,찰보리비빔밥,석식,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,536.58kcal,2021-09-30,6282
