,메뉴이름,식사명,열량,날짜,부대
0,밥,조식,363.000,20200312,6335
1,콩나물밥&달래양념장 (5)(6)(16),중식,454.150,20200312,6335
2,새우버거 (1)(6)(9)(12),석식,1123.530,20200312,6335
3,쇠고기버섯들깨탕 (5)(16),조식,97.460,20200312,6335
4,근대된장국 (5)(6),중식,54.030,20200312,6335
5,혼합시리얼,석식,126.000,20200312,6335
6,맛김,조식,5.250,20200312,6335
7,오징어볶음 (5)(6)(17),중식,261.290,20200312,6335
8,생선묵조림 (5)(6),조식,135.990,20200312,6335
9,배추김치 (9),중식,10.500,20200312,6335
10,배추김치 (9),조식,10.500,20200312,6335
11,밥,조식,363.000,20200313,6335
12,잡곡밥,중식,373.390,20200313,6335
13,밥,석식,363.000,20200313,6335
14,조갯살미역국 (5)(18),조식,12.950,20200313,6335
15,김치찌개 (5)(9)(10),중식,160.860,20200313,6335
16,순두부국 (1)(5)(16)(18),석식,78.610,20200313,6335
17,햄슬라이스야채볶음 (5)(6)(10),조식,224.440,20200313,6335
18,떡볶이 (1)(5)(6),중식,475.090,20200313,6335
19,돼지고기가지볶음 (5)(6)(10),석식,346.960,20200313,6335
20,오이부추무침 (5)(6),조식,30.320,20200313,6335
21,연근튀김 (5)(6),중식,358.350,20200313,6335
22,시금치무침 (5)(6),석식,29.160,20200313,6335
23,배추김치 (9),조식,10.500,20200313,6335
24,깍두기 (9),중식,17.100,20200313,6335
25,배추김치 (9),석식,10.500,20200313,6335
26,밥,조식,363.000,20200314,6335
27,밥,중식,363.000,20200314,6335
28,조밥,석식,369.960,20200314,6335
29,콩나물국 (5),조식,29.410,20200314,6335
30,광어매운탕 (5)(6),중식,150.030,20200314,6335
31,닭고기육개장 (1)(5)(15),석식,226.910,20200314,6335
32,맛김,조식,5.250,20200314,6335
33,새송이버섯야채볶음 (5)(6)(10),중식,119.740,20200314,6335
34,호박볶음 (5)(6)(9)(10),석식,103.620,20200314,6335
35,계란찜 (1)(9),조식,108.290,20200314,6335
36,중화식잡채 (5)(6)(16),중식,189.570,20200314,6335
37,양파간장절임 (5)(6),석식,54.910,20200314,6335
38,깍두기 (9),조식,17.100,20200314,6335
39,배추김치 (9),중식,10.500,20200314,6335
40,배추김치 (9),석식,10.500,20200314,6335
41,밥,조식,363.000,20200315,6335
42,현미밥,중식,370.260,20200315,6335
43,밥,석식,363.000,20200315,6335
44,생선묵국 (5)(6),조식,65.840,20200315,6335
45,비엔나소시지찌개 (9)(10),중식,135.490,20200315,6335
46,아욱고추장찌개 (5)(6)(16),석식,80.650,20200315,6335
47,돈육표고장조림 (5)(6)(10),조식,302.590,20200315,6335
48,두부조림 (5)(6)(10),중식,103.910,20200315,6335
49,갈릭새우살버터볶음 (9),석식,146.380,20200315,6335
50,무생채 (5)(6),조식,30.640,20200315,6335
51,부추겉절이 (5)(6),중식,31.740,20200315,6335
52,감자매운조림 (5)(6),석식,76.590,20200315,6335
53,배추김치 (9),조식,10.500,20200315,6335
54,백김치 (9),중식,16.800,20200315,6335
55,배추김치 (9),석식,10.500,20200315,6335
56,햄야채덮밥 (5)(6)(10)(12),조식,680.350,20200316,6335
57,찰보리밥,중식,367.910,20200316,6335
58,밥,석식,363.000,20200316,6335
59,순두부찌개 (1)(5)(10)(17)(18),조식,126.690,20200316,6335
60,짬뽕찌개 (5)(9)(10)(17)(18),중식,112.440,20200316,6335
61,쇠고기미역국 (5)(16),석식,37.800,20200316,6335
62,콩나물무침 (5)(6),조식,42.280,20200316,6335
63,탕수육(완) (5)(6)(10)(12),중식,571.420,20200316,6335
64,고추참치마파두부 (5)(6),석식,161.740,20200316,6335
65,배추김치 (9),조식,10.500,20200316,6335
66,과일샐러드 (1)(12),중식,96.200,20200316,6335
67,우엉조림 (5)(6),석식,81.460,20200316,6335
68,깍두기 (9),중식,17.100,20200316,6335
69,배추김치 (9),석식,10.500,20200316,6335
70,밥,조식,363.000,20200317,6335
71,생우동 (6),중식,390.830,20200317,6335
72,잡곡밥,석식,373.390,20200317,6335
73,계란국 (1)(5),조식,71.940,20200317,6335
74,돈가스 (6)(10),중식,727.900,20200317,6335
75,감자양파찌개 (5)(6),석식,76.860,20200317,6335
76,돼지고기김치볶음 (9)(10),조식,221.950,20200317,6335
77,단무지,중식,12.600,20200317,6335
78,쇠고기불고기 (5)(6)(16),석식,129.540,20200317,6335
79,맛김,조식,5.250,20200317,6335
80,배추김치 (9),중식,10.500,20200317,6335
81,오징어젓무침 (17),석식,54.040,20200317,6335
82,깍두기 (9),조식,17.100,20200317,6335
83,배추김치 (9),석식,10.500,20200317,6335
84,밥,조식,363.000,20200318,6335
85,밀쌀밥,중식,352.660,20200318,6335
86,밥,석식,363.000,20200318,6335
87,콩나물무채국 (5),조식,25.560,20200318,6335
88,호박된장찌개 (5)(6),중식,57.880,20200318,6335
89,꼬리곰탕 (5)(6),석식,575.640,20200318,6335
90,게맛살볶음 (5)(6),조식,92.030,20200318,6335
91,닭순살양배추볶음 (5)(6)(15),중식,330.490,20200318,6335
92,두부강정 (5)(6),석식,461.040,20200318,6335
93,김자반,조식,43.000,20200318,6335
94,깻잎조림 (5)(6),중식,40.250,20200318,6335
95,오이풋고추&쌈장 (5)(6),석식,50.470,20200318,6335
96,배추김치 (9),조식,10.500,20200318,6335
97,배추김치 (9),중식,10.500,20200318,6335
98,깍두기 (9),석식,17.100,20200318,6335
99,불고기버거 (1)(6)(10)(12),조식,804.170,20200319,6335
100,찹쌀밥,중식,373.650,20200319,6335
101,찰보리비빔밥 (5)(6)(16),석식,570.980,20200319,6335
102,혼합시리얼,조식,167.000,20200319,6335
103,들깨미역국 (5)(16),중식,28.760,20200319,6335
104,오징어무국 (5)(17),석식,58.810,20200319,6335
105,비엔나소시지떡볶음 (5)(6)(10),중식,380.570,20200319,6335
106,삶은계란(계란후라이) (1),석식,98.170,20200319,6335
107,감자조림 (5)(6),중식,52.190,20200319,6335
108,배추김치 (9),석식,10.500,20200319,6335
109,배추김치 (9),중식,10.500,20200319,6335
110,밥(1/2),조식,217.800,20200320,6335
111,잡곡밥,중식,373.390,20200320,6335
112,밥,석식,363.000,20200320,6335
113,떡만둣국 (1)(5)(6)(10)(16),조식,570.460,20200320,6335
114,버섯된장찌개 (5)(6),중식,68.950,20200320,6335
115,순두부국 (1)(5)(16)(18),석식,78.610,20200320,6335
116,배추김치 (9),조식,10.500,20200320,6335
117,오리불고기 (5)(6),중식,312.000,20200320,6335
118,돼지갈비찜 (5)(6)(10),석식,575.300,20200320,6335
119,양배추쌈 (5)(6),중식,61.820,20200320,6335
120,시금치무침 (5)(6),석식,29.160,20200320,6335
121,깍두기 (9),중식,17.100,20200320,6335
122,배추김치 (9),석식,10.500,20200320,6335
123,밥,조식,363.000,20200321,6335
124,핫도그빵 (1)(6)(10)(12),중식,918.370,20200321,6335
125,현미밥,석식,370.260,20200321,6335
126,쇠고기미역국 (5)(16),조식,37.800,20200321,6335
127,혼합시리얼,중식,,20200321,6335
128,무국 (5)(9),석식,47.470,20200321,6335
129,계란찜 (1)(9),조식,108.290,20200321,6335
130,닭순살피망볶음 (5)(6)(15),석식,471.550,20200321,6335
131,오이부추무침 (5)(6),조식,30.320,20200321,6335
132,콩나물무침 (5)(6),석식,42.280,20200321,6335
133,배추김치 (9),조식,10.500,20200321,6335
134,배추김치 (9),석식,10.500,20200321,6335
135,밥,조식,363.000,20200322,6335
136,김치덮밥 (9)(10),중식,662.400,20200322,6335
137,검은콩밥,석식,372.760,20200322,6335
138,순두부찌개 (1)(5)(10)(17)(18),조식,126.690,20200322,6335
139,시금치국 (5)(6)(9),중식,37.320,20200322,6335
140,계란국 (1)(5),석식,71.940,20200322,6335
141,버섯야채볶음 (5)(6)(16),조식,140.870,20200322,6335
142,오징어채간장볶음 (1)(5)(6)(17),중식,117.390,20200322,6335
143,꽈리고추멸치볶음,석식,64.080,20200322,6335
144,무생채 (5)(6),조식,30.640,20200322,6335
145,갓김치 (9),중식,12.800,20200322,6335
146,마파두부 (5)(6)(10),석식,197.850,20200322,6335
147,배추김치 (9),조식,10.500,20200322,6335
148,배추김치 (9),석식,10.500,20200322,6335
149,밥,조식,363.000,20200323,6335
150,밥,중식,363.000,20200323,6335
151,잡곡밥,석식,373.390,20200323,6335
152,비엔나소시지찌개 (9)(10),조식,135.490,20200323,6335
153,닭볶음탕 (15),중식,284.150,20200323,6335
154,감자된장국 (5)(6),석식,51.990,20200323,6335
155,호박볶음 (5)(6)(9)(10),조식,103.620,20200323,6335
156,생선가스 (1)(6),중식,658.630,20200323,6335
157,돼지불고기 (5)(6)(10),석식,382.130,20200323,6335
158,맛김,조식,5.250,20200323,6335
159,오이풋고추&쌈장 (5)(6),중식,50.470,20200323,6335
160,양배추쌈 (5)(6),석식,61.820,20200323,6335
161,깍두기 (9),조식,17.100,20200323,6335
162,배추김치 (9),중식,10.500,20200323,6335
163,배추김치 (9),석식,10.500,20200323,6335
164,밥,조식,363.000,20200324,6335
165,자장면 (1)(5)(6)(10),중식,849.520,20200324,6335
