날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-25","사인머스켓","90kcal","감자양파찌개(05)(06)","70.03kcal","버섯쇠고기찌개(05)(06)(16)","78.72kcal","","","2746.60kcal"
"2021-09-25","우유(백색우유(200ML,연간))(02)","244kcal","쇠고기불고기(05)(06)(16)","300.59kcal","계란찜(01)(09)","88.45kcal","","","2746.60kcal"
"2021-09-25","커피음료","","계란말이(01)","60.53kcal","닭고기야채조림(05)(06)(15)","245.84kcal","","","2746.60kcal"
"2021-09-25","","","갓김치","11.52kcal","배추김치(7~9월)","9.5kcal","","","2746.60kcal"
"2021-09-26","김치덮밥(05)(06)(10)","614.49kcal","잡곡밥","378.29kcal","밥","363kcal","","","2619.27kcal"
"2021-09-26","조개국(01)(05)","49.69kcal","감자호박국(05)(09)","32.16kcal","들깨미역국(05)","90.32kcal","","","2619.27kcal"
"2021-09-26","오징어채간장볶음(01)(05)(06)(17)","96.26kcal","돼지고기고추장볶음(05)(06)(10)","455.68kcal","닭갈비(05)(06)(15)","306.55kcal","","","2619.27kcal"
"2021-09-26","깍두기(완제품)(09)","15.2kcal","배추된장무침(05)(06)","41.26kcal","콩나물매운무침(05)(06)","32.07kcal","","","2619.27kcal"
"2021-09-26","우유(백색우유(200ML,연간))(02)","122kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","2619.27kcal"
"2021-09-27","밥","363kcal","잡채볶음밥","727.63kcal","찹쌀밥","391.72kcal","","","2983.61kcal"
"2021-09-27","부대찌개(05)(06)(10)","176.99kcal","북어채국(05)","20.34kcal","생선묵국(05)(06)","63.95kcal","","","2983.61kcal"
"2021-09-27","조미김","0kcal","오이양파장아찌(05)(06)","28.37kcal","떡볶이(05)(06)","286.08kcal","","","2983.61kcal"
"2021-09-27","돈육표고장조림(05)(06)(10)","223.92kcal","배추김치(7~9월)","9.5kcal","야채튀김(06)(12)","380.34kcal","","","2983.61kcal"
"2021-09-27","오이무침","19.49kcal","복숭아 주스(340㎖/캔)","81kcal","삶은계란(01)","70.28kcal","","","2983.61kcal"
"2021-09-27","배추김치(7~9월)","9.5kcal","","","배추김치(7~9월)","9.5kcal","","","2983.61kcal"
"2021-09-27","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2983.61kcal"
"2021-09-28","밥","363kcal","자장면(05)(06)(10)","803.2kcal","찰보리밥","386.7kcal","","","2873.72kcal"
"2021-09-28","쇠고기무국(05)(16)","36.62kcal","해물짬뽕찌개(05)(06)(17)(18)","92.45kcal","강된장찌개(05)(06)","131.12kcal","","","2873.72kcal"
