,메뉴이름,다른메뉴,조합점수
0,가자미튀김,돼지고기김치찌개,5.0
1,가자미튀김,밥,5.0
2,가자미튀김,배추김치,5.0
3,가자미튀김,콩나물삼색볶음,5.0
4,간장 돼지불고기,건새우아욱된장국,3.0
5,간장 돼지불고기,계란찜,4.0
6,간장 돼지불고기,김장김치,3.0
7,간장 돼지불고기,깍두기,3.0
8,간장 돼지불고기,맛김,3.0
9,간장 돼지불고기,명태매운탕,3.0
10,간장 돼지불고기,바나나맛우유,3.0
11,간장 돼지불고기,배추김치,3.0
12,간장 돼지불고기,버섯강정,3.0
13,간장 돼지불고기,버섯쇠고기찌개,3.0
14,간장 돼지불고기,브로콜리초고추장,3.0
15,간장 돼지불고기,쇠고기무국,4.0
16,간장 돼지불고기,수박,4.0
17,간장 돼지불고기,수수밥,3.0
18,간장 돼지불고기,순두부양념장,3.0
19,간장 돼지불고기,아이스크림 떠먹는형,3.0
20,간장 돼지불고기,오이김치,3.0
21,간장 돼지불고기,오징어젓무침,3.0
22,간장 돼지불고기,참치김치찌개,3.0
23,간장 돼지불고기,총각김치,4.0
24,간장 돼지불고기,컵과일,3.0
25,간장 돼지불고기,햄김치찌개,3.0
26,간장 돼지불고기,현미밥,3.25
27,갈비탕,깍두기,3.0
28,갈비탕,바나나우유,3.0
29,갈비탕,밥,3.0
30,갈비탕,오이풋고추된장무침,3.0
31,갈비탕,콩나물매운잡채,3.0
32,갈치순살튀김,감귤,1.0
33,갈치순살튀김,갓김치,1.0
34,갈치순살튀김,과일푸딩,4.0
35,갈치순살튀김,닭볶음탕,1.0
36,갈치순살튀김,떡만둣국,4.0
37,갈치순살튀김,배추김치,4.0
38,갈치순살튀김,생선묵볶음,1.0
39,갈치순살튀김,시금치무침,4.0
40,갈치순살튀김,찰보리밥,1.0
41,감귤,갈치순살튀김,1.0
42,감귤,감자쇠고기찌개,3.0
43,감귤,갓김치,1.0
44,감귤,김장김치,2.25
45,감귤,깍두기,3.0
46,감귤,닭간장소스찜,2.0
47,감귤,닭고기튀김,3.0
48,감귤,닭볶음탕,1.0
49,감귤,닭순살야채조림,1.0
50,감귤,돼지고기감자찌개,2.0
51,감귤,돼지고기김치찜,3.0
52,감귤,무조림,3.0
53,감귤,밥,1.0
54,감귤,버섯쇠고기찌개,3.0
55,감귤,새송이버섯야채볶음,2.0
56,감귤,생선묵국,3.0
57,감귤,생선묵볶음,1.0
58,감귤,수수밥,2.0
59,감귤,시금치무침,2.0
60,감귤,아이스크림 팩형,1.0
61,감귤,연포탕,1.0
62,감귤,쭈꾸미야채볶음,3.0
63,감귤,찰보리밥,2.3333333333333335
64,감귤,청양고추멸치볶음,3.0
65,감귤,흑미밥,3.0
66,감귤 주스,감자돈육짜글이,2.0
67,감귤 주스,감자조림,3.0
68,감귤 주스,감자탕,2.5
69,감귤 주스,감자튀김,3.0
70,감귤 주스,게맛살야채볶음,3.0
71,감귤 주스,계란찜,3.0
72,감귤 주스,김장김치,3.0
73,감귤 주스,깍두기,2.3333333333333335
74,감귤 주스,돈가스,3.0
75,감귤 주스,돼지고기가지볶음,3.0
76,감귤 주스,돼지고기고추장볶음,2.0
77,감귤 주스,돼지고기김치찜,2.0
78,감귤 주스,돼지고기꽈리고추볶음,3.0
79,감귤 주스,돼지고기육개장,3.0
80,감귤 주스,두부김치국,3.0
81,감귤 주스,모듬쌈,3.0
82,감귤 주스,밀쌀밥,3.0
83,감귤 주스,밥,2.6
84,감귤 주스,배추김치,3.0
85,감귤 주스,비엔나소시지김치찌개,3.0
86,감귤 주스,새송이버섯야채볶음,2.0
87,감귤 주스,쇠고기불고기,3.0
88,감귤 주스,수수밥,3.0
89,감귤 주스,순두부찌개,3.0
90,감귤 주스,시리얼,3.0
91,감귤 주스,야채샐러드,3.0
92,감귤 주스,양배추쌈,2.5
93,감귤 주스,열무김치,2.0
94,감귤 주스,오삼불고기,3.0
95,감귤 주스,오징어볶음,2.0
