,메뉴이름,검색결과,URL
0,두부김치,"김치찌개 - 참치, 두부",/ko/food/calories/147277200
1,두부김치,Tofu Kimchi(두부김치),/ko/food/calories/tofu-kimchi-837194415
2,두부김치,두부김치,/ko/food/calories/631846370
3,두부김치,두부김치(서울),/ko/food/calories/881966750
4,두부김치,두부김치찌개,/ko/food/calories/1011450866
5,두부김치,두부김치찌개,/ko/food/calories/1199535849
6,두부김치,두부,/ko/food/calories/181182734
7,두부김치,옛두부,/ko/food/calories/139367241
8,두부김치,두부,/ko/food/calories/1138249751
9,두부김치,신라면블랙두부김치,/ko/food/calories/1288700307
10,오리불고기,오리 불고기,/ko/food/calories/191505142
11,오리불고기,오리불고기,/ko/food/calories/669503748
12,오리불고기,오리고기,/ko/food/calories/139367271
13,오리불고기,"불고기, 오리",/ko/food/calories/804602017
14,오리불고기,양념오리불고기,/ko/food/calories/1528774390
15,오리불고기,불고기,/ko/food/calories/380017142
16,오리불고기,오리고기,/ko/food/calories/956671131
17,오리불고기,오리고기,/ko/food/calories/176608467
18,오리불고기,오리,/ko/food/calories/908344628
19,오리불고기,오리&불고기정식 도시락,/ko/food/calories/919762466
20,궁중떡볶이,떡볶이,/ko/food/calories/615313089
21,궁중떡볶이,궁중떡볶이,/ko/food/calories/654525552
22,궁중떡볶이,Korean Royal Tteokbokki,/ko/food/calories/korean-royal-tteokbokki-718268664
23,궁중떡볶이,조랭이 떡 궁중 떡볶이,/ko/food/calories/1190487840
24,궁중떡볶이,떡볶이,/ko/food/calories/139364826
25,궁중떡볶이,궁중떡볶이,/ko/food/calories/794664700
26,궁중떡볶이,백종원의 궁중떡볶이 양념,/ko/food/calories/1434843333
27,궁중떡볶이,떡볶이,/ko/food/calories/148725824
28,궁중떡볶이,떡볶이,/ko/food/calories/442408312
29,궁중떡볶이,조랭이 떡 궁중 떡볶이,/ko/food/calories/620005362
30,김자반,오! 고소 김자반,/ko/food/calories/1436436847
31,김자반,김자반,/ko/food/calories/395171480
32,김자반,서천 김자반,/ko/food/calories/166632195
33,김자반,김자반,/ko/food/calories/867738567
34,김자반,김자반,/ko/food/calories/646085582
35,김자반,김파래 자반,/ko/food/calories/213819613
36,김자반,김자반,/ko/food/calories/511068139
37,김자반,Seaweed,/ko/food/calories/seaweed-877286947
38,김자반,김자반,/ko/food/calories/166237767
39,김자반,돌김자반,/ko/food/calories/215035362
40,깻잎조림,일반 깻잎조림,/ko/food/calories/1065733040
