,Unnamed: 0,메뉴이름,계란류,wv,우유,메밀,땅콩,대두,밀,고등어,게,새우,돼지고기,복숭아,토마토,아황산류,호두,닭고기,쇠고기,오징어,조개류,잣,열량,기준양,기준열량,탄수화물,지방,단백질,나트륨,콜레스트롤,category
0,0,두부김치,0,"[-2.4492892e-03  5.8712009e-03  2.5707025e-03  1.6015243e-05
  7.8376569e-03 -2.5644079e-03  3.0553048e-03 -7.3093087e-03
  5.8323708e-03 -7.3146964e-03 -4.2599328e-03 -3.9402861e-03
 -4.3303757e-03 -1.5009721e-03 -8.6952643e-03 -9.0459306e-03
 -7.6887761e-03 -1.0040279e-02 -6.5465854e-03  3.1069566e-03
 -3.1509774e-03 -4.3269672e-04 -8.3563040e-04  1.8576300e-04
 -4.8551718e-03  6.3447426e-03  9.2095789e-03  7.6991390e-03
 -2.4291340e-03  1.8951959e-03  5.5597499e-03 -9.1716750e-03
  2.5965914e-03 -8.4249275e-03  6.0154102e-03 -2.0446396e-03
  4.3006907e-03  4.4449605e-03  1.6151054e-03 -4.7194180e-03
  4.8073670e-03  5.6988914e-03  7.0008151e-03 -1.7614827e-04
 -3.6780629e-03  3.7473768e-03  2.2451072e-03 -9.5981685e-03
  6.4066933e-03  7.7104936e-03  1.1318899e-03  2.1922155e-03
  1.7465299e-03  1.3395726e-03 -9.9630523e-03  6.7121680e-03
 -6.8747438e-03 -6.7379321e-03 -4.7420650e-03 -3.9140149e-03
  1.7273632e-03  3.0206813e-04 -3.1253528e-03 -9.6398778e-03
  2.1904286e-03 -1.8663283e-03 -5.4766744e-04  7.8616906e-03
  6.3773105e-04  4.9111415e-03  3.1553255e-03  1.9189913e-03
  7.4158623e-03  6.7087524e-03  7.5504621e-03  4.1106939e-03
 -2.4737238e-03  2.7440013e-03  7.9677897e-03  9.5871580e-04
 -9.5549319e-03 -8.0332980e-03 -9.0265591e-03 -1.3992221e-04
 -1.3879030e-03  7.6010684e-03  6.7999568e-03  3.9756838e-03
  1.6587171e-03 -2.3255509e-03  1.8024252e-03  6.9712480e-03
  8.8591166e-03  1.0041510e-03  9.6528657e-04 -9.7443759e-03
  1.5333547e-03  9.1314921e-03  1.9572093e-03 -9.1831968e-04]",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,202.41kcal,250 g,288,14,17,19,989,13,6
1,1,오리불고기,0,"[ 6.7120668e-04  8.5612265e-03  5.0652958e-04  3.3310801e-04
 -3.8112067e-03  1.7756107e-04 -3.0638676e-03  2.7614660e-03
 -3.2263058e-03 -1.7853342e-03  5.8379229e-03 -1.5997338e-03
  2.8946728e-03 -1.2599432e-04 -3.2093080e-03 -9.1639468e-03
  2.3740972e-03 -4.6031820e-03  2.5944740e-03 -4.9570366e-03
 -3.2591517e-03 -4.1110977e-03  7.0889178e-04 -3.3798164e-03
 -2.9707185e-03 -6.1383657e-04 -7.3629036e-04 -3.7644340e-03
  8.8025327e-04  1.6305011e-03  4.7268234e-03 -7.5614336e-03
  8.5416194e-03 -5.8572474e-03  2.6865519e-04 -7.6055992e-03
 -5.6356541e-03 -3.9414880e-03  2.2499927e-04 -4.2569614e-03
  1.2978981e-03 -5.2702841e-03 -2.6274886e-04 -2.1126138e-03
 -3.3197701e-03 -1.3153758e-03 -1.2445787e-05 -6.2449831e-03
 -2.2907220e-03  2.8855733e-03  8.6192787e-04  3.1282208e-03
 -6.7283949e-03  6.7100059e-03 -1.6542496e-03 -2.6488244e-03
  1.5991867e-04 -5.5372976e-03 -5.4315641e-04 -3.7172625e-03
  3.0405854e-03  5.7645543e-03 -7.8550512e-03  2.8176771e-03
 -1.0049348e-03  7.7135733e-04  1.0938153e-02  1.5748881e-03
 -8.5691325e-03  5.5794334e-03 -5.6837848e-04  2.7686451e-04
  2.3968210e-03 -1.2428453e-04 -3.1653594e-04 -4.4026989e-03
 -3.1947342e-03  2.9823780e-03 -1.3908606e-03  9.0621766e-03
 -4.1294363e-03 -2.2616717e-03 -1.6449462e-04  6.4802985e-03
 -4.6471162e-03 -3.4927954e-03 -2.0059329e-03  3.4545877e-04
  3.3495887e-03  3.7070257e-03  4.0362906e-03 -6.4706043e-03
 -5.1306472e-03  1.3060393e-03 -5.7975911e-03  2.2563015e-03
 -1.1859303e-03  2.8177248e-03 -6.9932840e-03  4.7252937e-03]",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279.15kcal,200 g,140,5,7,11,170,45,6
2,2,궁중떡볶이,0,"[ 4.2925063e-03  2.2623863e-03  7.0965169e-03  7.1743149e-03
 -5.9266035e-03 -3.0369968e-03 -3.1562115e-03  3.0251739e-03
  7.1876375e-03 -5.7924015e-04 -3.1997096e-03  6.8276172e-04
 -1.4386962e-03 -1.5391242e-03 -1.0242050e-03  1.2591942e-03
  2.5904989e-03 -4.0895236e-03 -1.9066322e-03  1.1686587e-03
 -9.7486202e-04 -2.4257903e-03 -2.2767186e-03  5.7375850e-03
  2.2198206e-03  2.6076841e-03  8.5939583e-04  5.1600020e-04
  2.2373814e-03  2.0656246e-04 -3.2313992e-04 -1.9108558e-03
  4.7575925e-03  2.2861701e-03 -3.9726673e-03  6.4334581e-03
 -7.0402045e-03 -5.3352742e-03  2.0796985e-03 -6.3509317e-03
  1.3255582e-03 -6.7632366e-04 -8.1629818e-03 -3.8971324e-03
  4.5513175e-03  2.6440115e-03  9.5993141e-04  7.3557277e-03
 -3.9863782e-03  7.2028348e-03 -1.1474858e-03  5.2905451e-03
  3.5521192e-03  4.9181550e-04 -5.1964615e-03  7.2055077e-03
 -1.5954087e-03  6.4947307e-03  1.1919905e-03  7.6184329e-04
 -3.7728506e-03 -4.4143829e-04 -4.0193833e-04 -1.9328148e-03
 -3.9506657e-03 -2.2561448e-03  3.9447229e-03  7.3403660e-03
  1.8206171e-03  6.9293547e-03 -2.4467609e-03 -3.7710452e-03
  1.0248553e-03 -1.2643699e-03  2.8569505e-03  9.8505542e-03
  5.7965098e-03 -1.7824442e-03 -1.2977341e-03  1.3838487e-03
 -1.7361910e-03  7.5139324e-03  8.8699572e-03  8.7448710e-04
 -8.0286963e-03 -5.2791778e-03 -2.0061741e-03 -6.6284128e-03
 -7.8663826e-03 -2.0342711e-03 -2.4525973e-05 -8.2698208e-04
  3.7152059e-03  3.9761406e-03  6.4642401e-04 -1.6572104e-03
  1.6649194e-03  4.5079314e-03 -7.8426702e-03 -4.4478960e-03]",0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,264.69kcal,100 g,179,36,2,1,421,--,6
3,3,김자반,0,"[ 0.00328714  0.00127614  0.00302063  0.00237604 -0.00336644  0.00888247
  0.00546345  0.00222359  0.00126939 -0.00551335 -0.00097787 -0.00544235
  0.00519794  0.00156559 -0.00016443 -0.00057432 -0.00174783 -0.00037375
  0.00052888 -0.00297866 -0.00327381  0.00179243  0.00064067  0.00169296
  0.00093647 -0.00431775 -0.00486975 -0.00119942  0.00330521 -0.00099845
 -0.00225534 -0.00514287 -0.00062934  0.00100337 -0.00478529 -0.00181743
 -0.00115378  0.00239676 -0.00362109  0.00135862 -0.00329919  0.00391124
 -0.00420771 -0.00321695 -0.0002755  -0.00586052  0.00018919  0.00202931
  0.00451578  0.00497571 -0.00535188  0.00525008  0.00858555  0.00112209
  0.00753881 -0.00567678  0.00790755 -0.0029982   0.00731364 -0.00443922
 -0.00433402  0.00151178 -0.00819376 -0.00071348  0.00176872 -0.00288994
  0.00075896  0.00037471  0.00081835 -0.00375866  0.00300981  0.00423853
  0.00270125  0.00015642 -0.00050057 -0.00890621  0.00819567 -0.00091332
 -0.00100172 -0.00673746 -0.00075279 -0.00681072 -0.00185761 -0.00789022
  0.00084386 -0.00182603 -0.00445145 -0.00250568  0.0019116   0.0004458
  0.0048383  -0.00480308 -0.00303799  0.00574546  0.00766889 -0.00205306
 -0.00028038 -0.00575081 -0.00476151 -0.00040555]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8kcal,13 .3cal,13,1,3,1,36,--,9
4,4,깻잎조림,0,"[-0.00577362  0.00643233 -0.00048567  0.00692957  0.00945382 -0.00454035
  0.00385811  0.01048359 -0.00418302 -0.00866457 -0.00051915 -0.00657862
 -0.00746585  0.00561955  0.00514288 -0.00162529  0.00478163  0.00607033
 -0.00714362 -0.00331741 -0.00304383 -0.00592861  0.00867399 -0.0101078
  0.00128284 -0.0020662  -0.00791899 -0.00262484 -0.00302685  0.00467864
  0.00297732 -0.00617587 -0.00060393 -0.00551051 -0.00355924  0.00202918
  0.00547592  0.00271653  0.00671869  0.00185858  0.00396755 -0.00524238
 -0.00177771  0.00083323  0.00216335  0.00348555 -0.00363458  0.00122185
  0.00459267  0.00102076  0.00976789 -0.00996448  0.00220943 -0.00140024
 -0.00651619  0.0063994   0.00795756  0.00512129 -0.00758864  0.00697224
 -0.00203464  0.00401998 -0.00168347 -0.00114005  0.0019447   0.00098094
  0.00091704  0.00330456 -0.00132914  0.00128934 -0.00481668 -0.00205726
  0.00928256  0.00167748  0.00233868 -0.00574858 -0.00760198 -0.00144697
  0.00010065 -0.00591647 -0.00508956 -0.00367586 -0.00148955  0.00180047
 -0.00031751  0.00370702  0.0043357  -0.00318221  0.00654668  0.00020497
  0.00780305  0.00492526  0.00386793 -0.00113246  0.00610707  0.0022486
  0.00088706  0.00093883 -0.00268413 -0.00057145]",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.98kcal,1 인,80,-,-,3,--,--,4
5,5,배추김치,0,"[-0.00304218  0.00712852  0.00803521  0.00422862 -0.0092629  -0.00721254
 -0.00977378  0.00695117  0.00838161 -0.00753586 -0.00605557  0.00396001
 -0.00315682 -0.00227689  0.00530693 -0.00950014 -0.00420055 -0.00456449
  0.00585385  0.00411405  0.00899139 -0.00034388 -0.00706715  0.00570514
  0.00186509  0.00440737 -0.00286901  0.00040338  0.00701568 -0.00720226
 -0.00557848 -0.0081147  -0.00778315 -0.00276658  0.00250692 -0.00637769
  0.00373704  0.00260743 -0.00756445 -0.00510885 -0.00904177  0.00402927
  0.00362888 -0.00502513  0.00117196 -0.00400022  0.00384727  0.00407983
  0.00485267  0.00155926 -0.00916796 -0.00853822  0.00824857 -0.00425351
 -0.00387518 -0.00143645  0.00110093 -0.00910507 -0.00228565 -0.00750688
  0.00941816  0.00830071 -0.00817611 -0.00808347  0.00868627  0.0094688
  0.00295321 -0.00488712  0.00925133  0.00904808 -0.00081522  0.0032735
  0.00771059 -0.00121588  0.00469296  0.00637468  0.00630571  0.00605269
 -0.0047529  -0.00838547 -0.00724797  0.00490917 -0.0062141  -0.00218159
  0.00626775 -0.00078315  0.00118551 -0.00781032  0.00555984  0.00868267
 -0.00670207  0.00421358  0.00182511  0.00626547  0.00918089 -0.00926193
 -0.00130507  0.00999448  0.00617626  0.00309695]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5kcal,100 g,32,5,-,2,910,--,9
6,6,황태채무침,0,"[-2.5898998e-03  6.4204428e-03 -2.1230008e-03  4.5913202e-03
 -5.4049445e-04  2.5105162e-03 -3.4545464e-03  1.0156125e-02
  2.0309079e-03 -1.4973441e-03 -4.3291012e-03 -6.1539821e-03
 -8.0593181e-04 -3.2755965e-03  2.1273599e-03 -1.5195586e-03
  1.5055031e-03  1.6092529e-03  1.9070945e-03  4.6220724e-03
 -1.6517249e-03 -6.2598311e-03  4.1596391e-03 -4.5529217e-03
 -5.9706359e-03  7.2472976e-03 -4.6427618e-03  1.3088690e-03
 -5.2638719e-04  3.0275397e-03  5.6562908e-03 -5.1959307e-04
  8.7331040e-03 -3.8276946e-03 -8.7903248e-04 -1.8117987e-03
  1.6970243e-03  6.4222501e-03  4.8471490e-04 -5.9875118e-05
 -2.8905917e-03 -1.9091343e-03  1.2149885e-03  3.2212955e-03
 -6.2736560e-04 -3.2034444e-03 -3.0389754e-03  3.4298173e-03
  3.9699632e-03 -4.9687917e-03 -1.6654143e-03 -2.9857797e-04
 -1.1890861e-03  2.5520665e-03 -1.6053529e-03  8.4187882e-03
 -4.4085509e-03  3.6712699e-03  5.6762557e-04 -1.9223845e-03
  1.2922088e-03  4.0589813e-03 -6.9309990e-03 -1.3114562e-03
 -8.6672725e-03  1.4933945e-03 -4.4069537e-03 -2.2146699e-03
 -8.8475957e-05 -4.9149510e-03 -6.5704673e-03  2.9076580e-03
  1.2081629e-03 -9.5178402e-04  1.9377461e-03 -1.0033223e-03
  1.6678610e-03  1.5940475e-03 -6.9168332e-04 -7.9171266e-04
 -2.3165811e-03 -5.6181401e-03 -1.0086824e-03  2.3862419e-03
  2.4947447e-03 -1.5200792e-03 -2.7936753e-03  5.0575677e-03
  6.1302334e-03 -2.0061142e-03  6.7702900e-03 -1.9158917e-03
 -8.5632753e-04  4.7350805e-03  1.7502075e-03  5.3394460e-03
 -4.2586545e-03 -9.3823532e-04 -9.5323025e-04  5.9489310e-03]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.16kcal,180 ml,130,9,8,6,95,25,9
7,7,복숭아주스,0,"[-0.00520734 -0.00315473 -0.00818069  0.0001826  -0.00260645 -0.00919303
 -0.00426679  0.0045212   0.00355521 -0.00438338  0.00724544 -0.00358213
 -0.00225721  0.00238806 -0.00232085  0.00370375  0.00365526  0.00200907
  0.00690274 -0.00271077 -0.00694778 -0.00049472  0.00186692 -0.00266584
 -0.00435013  0.00100676 -0.00204238 -0.00156832  0.00444066 -0.0092836
 -0.00545507  0.00678023  0.00694681  0.00105751 -0.00091655 -0.00271056
 -0.00266409 -0.00688578 -0.00483114 -0.00047229  0.00213895 -0.00323857
 -0.00221782 -0.00409858  0.00131823 -0.00078443  0.00187896  0.00263552
 -0.00557859  0.00141406  0.00451258 -0.00346964 -0.00297686  0.00882133
 -0.00010018 -0.00118038 -0.00020556 -0.00791631  0.00057443  0.00141378
 -0.00135723 -0.00200935  0.00152939  0.00266593 -0.0108344   0.00301097
  0.00189647  0.00495034 -0.00167467  0.00226295  0.00194713 -0.00485705
  0.00659026  0.00416162 -0.00338359 -0.00709548  0.00532197 -0.00287883
 -0.0037291  -0.00021757 -0.00393906  0.00364323  0.00574978 -0.00018901
  0.00640151  0.0049729   0.00359804  0.00435169  0.00389412  0.00620588
  0.00716417  0.00455875 -0.00203718  0.00727613  0.00851478  0.00459317
 -0.00446948 -0.00173227 -0.00256616  0.00605532]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1 캔 (240ml),70,18,-,-,--,--,9
8,8,열무김치,0,"[ 0.00666058 -0.00700732  0.00469963 -0.00472581  0.00246192  0.00801698
 -0.00954523 -0.00139297  0.00217567  0.00672759 -0.00219765 -0.00904902
 -0.00123383  0.00364551 -0.00972463  0.00414909 -0.00950183  0.00490893
 -0.00719423 -0.00718421 -0.00952812 -0.00373138  0.00610698  0.00565883
  0.00133672  0.00078081 -0.0065709  -0.00807258 -0.00478343 -0.00534838
  0.00848196 -0.0066574  -0.00767339 -0.00151436 -0.0046881   0.00635826
 -0.00960898 -0.00378999 -0.00197446  0.00526399 -0.00402273  0.00382627
 -0.00040337 -0.0047857   0.00537667  0.00382984  0.00463425  0.00133645
 -0.0070394  -0.00190921 -0.00992729  0.00125399  0.00983108 -0.00019952
 -0.00442683  0.00484213  0.00597222 -0.0061674  -0.00668091 -0.00348903
  0.00438087  0.00307768 -0.00206815 -0.00076115 -0.00880337 -0.00173894
 -0.00077625 -0.00413196 -0.0082931   0.0093598  -0.0002742   0.00136629
 -0.00400078 -0.00495399  0.0050573   0.00429435  0.00445425 -0.00493868
 -0.00059794  0.00073351  0.00625389  0.00476617  0.00116345 -0.00706234
 -0.00510458  0.00332989  0.00019847 -0.00863402 -0.00803095 -0.00137993
 -0.00243209 -0.00480326 -0.00268811 -0.00012671  0.0079183  -0.00502685
 -0.000446    0.00847298  0.00159704  0.00540451]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16kcal,100 g,32,6,-,1,--,--,1
9,9,사과,0,"[ 0.00422274  0.00618335 -0.0022641  -0.00103465 -0.00530893  0.00400422
  0.00970199  0.0016469  -0.00656589 -0.00153768 -0.00183826  0.00722686
 -0.00234618 -0.00358379  0.0003822   0.00379758  0.00352353  0.00157712
 -0.00817667  0.00020713  0.00115754 -0.00254465 -0.00836347 -0.00503491
 -0.00113885 -0.00440793  0.00690048 -0.00992091 -0.0004166   0.00647659
 -0.00492652 -0.00758766 -0.00346102  0.00540053  0.00138643  0.01049967
  0.00386783 -0.01020629 -0.01020307 -0.00397625 -0.00594584 -0.00742603
  0.00060484 -0.00179685 -0.00027987 -0.00436461 -0.00889595 -0.00713546
 -0.00586674 -0.00777368  0.00361409 -0.0071257   0.00506213  0.00543766
  0.00610324  0.00571849 -0.00618078  0.00795278 -0.0024643  -0.00979842
  0.007966    0.00271033  0.00653893 -0.00064836  0.000699   -0.00321767
 -0.00025908  0.00524697 -0.00526933  0.00131676  0.0060425  -0.00558734
 -0.00712925  0.00160286 -0.00193788  0.00430846 -0.00933654  0.00891307
 -0.00438082 -0.0022457   0.00329016  0.00195534 -0.00756066  0.00631946
  0.00308826  0.00654261  0.00751438 -0.00396522  0.01018014 -0.00642309
 -0.00659215 -0.00819433 -0.00406964  0.00104655 -0.00635262  0.00609149
  0.00871461 -0.00618283  0.00348991 -0.00957527]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.36kcal,100 g,52,14,-,-,1,--,3
